BrandName,TotalRecalls,UniqueProducts,UniquePathogens,YearsActive,DominantPathogen,DominantClass,DominantSeason,FirstRecall,LastRecall,AvgDaysBetweenRecalls,ClassI,ClassII,ClassIII,UnknownClass,ClassI_Pct,ClassII_Pct,ClassIII_Pct,UnknownClass_Pct
Ryding-Regency Meat Packers Ltd.,363,247,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-09-28,2019-10-15,0.0,363,0,0,0,100.0,0.0,0.0,0.0
Est 38,247,223,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-15,2012-09-27,0.0,247,0,0,0,100.0,0.0,0.0,0.0
None / Aucune,233,211,9,12,microbiological (pathogenic) salmonella,Class I,Fall,2012-08-09,2024-03-26,18.2,128,104,1,0,54.94,44.64,0.43,0.0
Safeway,198,179,3,3,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-16,2019-10-02,13.0,194,4,0,0,97.98,2.02,0.0,0.0
"Aucun (Metro, Super C, Richelieu, Ami)",129,110,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-09,2019-10-11,0.0,129,0,0,0,100.0,0.0,0.0,0.0
None,125,103,7,10,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2011-09-07,2023-11-30,35.7,109,11,5,0,87.2,8.8,4.0,0.0
Co-Op,119,51,2,4,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-19,2016-05-06,11.1,119,0,0,0,100.0,0.0,0.0,0.0
Reser'S Fine Foods,110,41,1,2,microbiological (pathogenic) listeria,Class I,Fall,2013-10-21,2016-04-12,8.2,110,0,0,0,100.0,0.0,0.0,0.0
Sweet 2 Eat,100,45,2,2,microbiological (pathogenic) listeria,Class I,Summer,2014-07-21,2020-08-25,22.3,100,0,0,0,100.0,0.0,0.0,0.0
Elite,99,94,1,1,microbiological (pathogenic) salmonella,Class II,Spring,2022-04-29,2022-04-29,0.0,0,99,0,0,0.0,100.0,0.0,0.0
Mann'S,97,24,2,3,microbiological (pathogenic) listeria,Class I,Fall,2011-05-09,2019-11-03,32.0,96,1,0,0,98.97,1.03,0.0,0.0
Simply Organic,97,35,1,2,microbiological (pathogenic) salmonella,Class II,Spring,2014-04-05,2015-03-25,3.6,0,97,0,0,0.0,100.0,0.0,0.0
"None/Aucune_X000D_
(Metro Ontario Inc.)",81,79,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-03,2019-10-03,0.0,81,0,0,0,100.0,0.0,0.0,0.0
Compliments,74,59,4,12,microbiological (pathogenic) listeria,Class I,Fall,2011-04-08,2024-02-17,63.5,65,9,0,0,87.84,12.16,0.0,0.0
None / Aucun,72,60,7,10,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2011-11-04,2023-12-25,61.6,47,24,1,0,65.28,33.33,1.39,0.0
Robin Hood,70,34,1,1,microbiological (pathogenic) e.coli,Class II,Spring,2017-03-27,2017-06-23,1.2,0,70,0,0,0.0,100.0,0.0,0.0
Mann'S Nourish Bowls,70,14,1,2,microbiological (pathogenic) listeria,Class I,Fall,2017-10-19,2019-11-03,10.6,70,0,0,0,100.0,0.0,0.0,0.0
Dole,68,53,2,7,microbiological (pathogenic) listeria,Class I,Winter,2011-06-22,2024-02-09,67.9,63,5,0,0,92.65,7.35,0.0,0.0
Intercity Packers,65,57,1,3,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-27,2017-01-30,24.4,65,0,0,0,100.0,0.0,0.0,0.0
Fortinos,65,51,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-09,2019-10-09,0.0,65,0,0,0,100.0,0.0,0.0,0.0
Centennial Foodservice,62,48,2,2,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-18,2014-03-17,8.8,62,0,0,0,100.0,0.0,0.0,0.0
Longo'S,61,33,3,4,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2011-12-10,2019-10-17,47.0,55,6,0,0,90.16,9.84,0.0,0.0
Grillhouse,55,51,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2012-02-18,2012-03-17,0.5,55,0,0,0,100.0,0.0,0.0,0.0
Whole Foods Market,53,53,2,2,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2018-05-15,2019-10-19,9.8,53,0,0,0,100.0,0.0,0.0,0.0
Eat Smart,53,27,1,3,microbiological (pathogenic) listeria,Class I,Winter,2018-12-04,2021-09-06,19.0,53,0,0,0,100.0,0.0,0.0,0.0
Organic Traditions,49,10,1,2,microbiological (pathogenic) salmonella,Class I,Summer,2014-05-30,2016-02-08,12.6,32,17,0,0,65.31,34.69,0.0,0.0
Mann'S Family Favorites,48,8,1,2,microbiological (pathogenic) listeria,Class I,Fall,2017-10-19,2019-11-03,15.5,48,0,0,0,100.0,0.0,0.0,0.0
Thomson International,44,28,1,1,microbiological (pathogenic) salmonella,Class I,Summer,2020-08-01,2020-08-13,0.2,44,0,0,0,100.0,0.0,0.0,0.0
Fresh Express,44,35,4,5,microbiological (pathogenic) listeria,Class I,Winter,2012-10-11,2024-02-08,94.0,26,18,0,0,59.09,40.91,0.0,0.0
Abbott,43,29,2,2,"microbiological (other), microbiological (pathogenic) salmonella",Class I,Winter,2018-10-14,2022-06-19,31.3,43,0,0,0,100.0,0.0,0.0,0.0
None (Fresh Start Foods Richmond Bc),42,42,1,1,microbiological (pathogenic) salmonella,Class II,Fall,2023-11-17,2023-11-27,0.2,0,42,0,0,0.0,100.0,0.0,0.0
Real Deal Meats,40,40,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2018-04-26,2018-04-26,0.0,40,0,0,0,100.0,0.0,0.0,0.0
Fanny Bay Oysters,39,21,1,2,microbiological (pathogenic) vibrio parahaemolyticus,Class III,Summer,2015-07-03,2017-09-06,20.4,0,6,33,0,0.0,15.38,84.62,0.0
Al-Rabih,39,6,1,1,microbiological (pathogenic) salmonella,Class II,Summer,2021-06-14,2021-07-27,1.1,0,39,0,0,0.0,100.0,0.0,0.0
Ginger Beef Choice,38,27,1,1,microbiological (pathogenic) listeria,Class I,Fall,2011-11-16,2011-11-20,0.1,38,0,0,0,100.0,0.0,0.0,0.0
Salaison Alpha Ltée / Alpha Meat Packers Ltd.,38,22,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-09-20,2019-10-04,0.3,38,0,0,0,100.0,0.0,0.0,0.0
Prepared For Food Basics / Prepare  Pour  Food Basics,38,26,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-04,2019-10-04,0.0,38,0,0,0,100.0,0.0,0.0,0.0
Irvings Farm Fresh,38,38,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2018-04-25,2018-04-25,0.0,38,0,0,0,100.0,0.0,0.0,0.0
Castle Brand,37,23,1,2,microbiological (pathogenic) listeria,Class I,Spring,2013-06-18,2014-03-17,7.3,37,0,0,0,100.0,0.0,0.0,0.0
Quaker,37,36,1,1,microbiological (pathogenic) salmonella,Class II,Winter,2024-01-11,2024-01-11,0.0,0,37,0,0,0.0,100.0,0.0,0.0
Salish Sea Foods Lp,35,20,1,2,microbiological (pathogenic) vibrio parahaemolyticus,Class III,Summer,2015-07-16,2019-07-02,41.3,0,5,30,0,0.0,14.29,85.71,0.0
President'S Choice / Le Choix Du Président,35,28,8,10,microbiological (pathogenic) staphylococcus aureus,Class II,Spring,2013-10-08,2024-02-07,107.8,9,16,10,0,25.71,45.71,28.57,0.0
Metro,35,30,3,4,microbiological (pathogenic) salmonella,Class II,Fall,2012-09-17,2020-11-27,85.5,13,22,0,0,37.14,62.86,0.0,0.0
Gills Onions,34,8,1,1,microbiological (pathogenic) listeria,Class I,Summer,2012-05-18,2012-07-26,2.0,34,0,0,0,100.0,0.0,0.0,0.0
Imperial Fresh,33,30,1,2,microbiological (pathogenic) salmonella,Class I,Summer,2020-07-30,2021-10-21,13.5,33,0,0,0,100.0,0.0,0.0,0.0
Pc Organics / Biologique,33,33,1,1,microbiological (pathogenic) clostridium botulinum,Class I,Winter,2017-02-03,2017-02-08,0.1,33,0,0,0,100.0,0.0,0.0,0.0
Kinder,33,14,1,1,microbiological (pathogenic) salmonella,Class II,Spring,2022-04-06,2022-04-11,0.1,0,33,0,0,0.0,100.0,0.0,0.0
Quality Fast Foods,33,32,1,4,microbiological (pathogenic) listeria,Class I,Winter,2015-07-04,2022-01-24,72.6,33,0,0,0,100.0,0.0,0.0,0.0
Est. 38,32,20,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-15,2012-09-21,0.2,32,0,0,0,100.0,0.0,0.0,0.0
Wholesome Farms,32,12,1,1,microbiological (pathogenic) listeria,Class II,Spring,2017-03-31,2017-04-12,0.4,0,32,0,0,0.0,100.0,0.0,0.0
Jem Raw Organic,32,8,1,1,microbiological (pathogenic) salmonella,Class I,Winter,2015-12-03,2015-12-03,0.0,32,0,0,0,100.0,0.0,0.0,0.0
Western Quality Meats,32,32,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-10-10,2012-10-10,0.0,32,0,0,0,100.0,0.0,0.0,0.0
