RECALL_NUMBER,StartDate,EndDate,Incident_NumItems,Incident_UniqueProducts,Incident_BrandsInvolved,BrandList,Incident_Pathogen,Incident_Severity,Incident_DurationDays
15980,2024-03-28 16:17:00,2024-03-28 16:17:00,1,1,1,adonis,microbiological (quality) yeasts,Class III,0
15989,2024-03-27 19:07:00,2024-03-27 19:07:00,1,1,1,eat sum more,microbiological (pathogenic) salmonella,Class II,0
15988,2024-03-26 13:30:00,2024-03-26 13:30:00,1,1,1,none / aucune,microbiological (pathogenic) listeria,Class I,0
15969,2024-03-14 19:36:00,2024-03-14 19:36:00,1,1,1,k-fresh,microbiological (pathogenic) listeria,Class I,0
15955,2024-03-06 15:06:00,2024-03-06 15:06:00,1,1,1,jeden tag,microbiological (quality) molds,Class III,0
15930,2024-02-19 20:45:00,2024-02-19 20:45:00,1,1,1,taylor farms,microbiological (pathogenic) salmonella,Class II,0
15928,2024-02-17 12:57:00,2024-02-17 12:57:00,6,4,4,"compliments, harman, no name / sans nom, star egg",microbiological (pathogenic) salmonella,Class II,0
15923,2024-02-15 11:02:00,2024-02-15 11:02:00,2,1,1,modhani,microbiological (quality) generic e.coli,Class II,0
15916,2024-02-09 13:35:00,2024-02-09 13:35:00,3,3,2,"dole, president's choice",microbiological (pathogenic) listeria,Class I,0
15914,2024-02-08 20:00:00,2024-02-08 20:00:00,1,1,1,fresh express,microbiological (pathogenic) listeria,Class I,0
15909,2024-02-07 17:26:00,2024-02-07 17:26:00,1,1,1,none / aucune,microbiological (pathogenic) listeria,Class I,0
15912,2024-02-07 15:42:00,2024-02-07 15:42:00,1,1,1,rojo's,microbiological (pathogenic) listeria,Class I,0
15910,2024-02-07 13:10:00,2024-02-07 13:10:00,4,2,2,"president's choice / le choix du président, taylor farms",microbiological (pathogenic) listeria,Class I,0
15904,2024-02-05 22:25:00,2024-02-05 22:25:00,2,2,1,bauman's country meat shop / (anglais seulement),microbiological (pathogenic) listeria,Class I,0
15882,2024-01-15 21:00:00,2024-01-15 21:00:00,1,1,1,eagle,microbiological (pathogenic) salmonella,Class II,0
15883,2024-01-15 18:48:00,2024-01-15 18:48:00,2,2,1,urban fare,microbiological (pathogenic) salmonella,Class II,0
15877,2024-01-12 19:02:00,2024-01-12 19:02:00,21,20,2,"aucune / none, none / aucune",microbiological (pathogenic) salmonella,Class II,0
15879,2024-01-12 18:09:00,2024-01-12 18:09:00,11,11,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
15878,2024-01-12 14:25:00,2024-01-12 14:25:00,2,2,1,none (metro),microbiological (pathogenic) salmonella,Class II,0
15875,2024-01-11 18:43:00,2024-01-11 18:43:00,38,37,2,"cap'n crunch / capitaine crounche, quaker",microbiological (pathogenic) salmonella,Class II,0
15873,2024-01-10 12:32:00,2024-01-10 12:32:00,1,1,1,réserve festive,microbiological (quality) yeasts,Class III,0
15863,2024-01-02 10:00:00,2024-01-02 10:00:00,3,2,2,"enfamil, enfamil nutramigen",microbiological (pathogenic) cronobacter sakazakii,Class I,0
15867,2023-12-28 13:37:00,2023-12-28 13:37:00,1,1,1,le grand fromage,microbiological (pathogenic) listeria,Class I,0
15866,2023-12-28 13:37:00,2023-12-28 13:37:00,1,1,1,springbank cheese co,microbiological (pathogenic) listeria,Class I,0
15838,2023-12-27 16:00:00,2023-12-27 16:00:00,1,1,1,gogo squeez,microbiological (undetermined),Class III,0
15839,2023-12-25 17:03:00,2023-12-25 17:03:00,1,1,1,none / aucun,microbiological (pathogenic) listeria,Class I,0
15868,2023-12-22 15:47:00,2023-12-22 15:47:00,1,1,1,factor,microbiological (undetermined),Class II,0
15849,2023-12-19 09:56:00,2023-12-19 09:56:00,1,1,1,yoso,microbiological (quality) molds,Class III,0
15853,2023-12-18 15:50:00,2023-12-18 15:50:00,2,1,1,main street brewing,microbiological (quality) yeasts,Class III,0
15852,2023-12-15 15:55:00,2023-12-15 15:55:00,1,1,1,golden mushroom,microbiological (pathogenic) listeria,Class II,0
15831,2023-12-07 19:23:00,2023-12-07 19:23:00,6,6,1,kopi thyme,microbiological (pathogenic) clostridium botulinum,Class I,0
15835,2023-12-07 15:05:00,2023-12-07 15:05:00,28,28,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
15833,2023-12-06 18:51:00,2023-12-06 18:51:00,1,1,1,good,microbiological (pathogenic) listeria,Class II,0
15822,2023-12-01 15:56:00,2023-12-01 15:56:00,1,1,1,malichita,microbiological (pathogenic) salmonella,Class II,0
15824,2023-11-30 18:45:00,2023-11-30 18:45:00,1,1,1,none,microbiological (pathogenic) salmonella,Class II,0
15823,2023-11-30 17:19:00,2023-11-30 17:19:00,1,1,1,malichita,microbiological (pathogenic) salmonella,Class II,0
15821,2023-11-30 11:04:00,2023-11-30 11:04:00,1,1,1,rudy,microbiological (pathogenic) salmonella,Class II,0
15825,2023-11-30 10:53:00,2023-11-30 10:53:00,16,11,3,"frankly fresh salads, fresh st. market, none",microbiological (pathogenic) salmonella,Class II,0
15818,2023-11-27 16:44:00,2023-11-27 16:44:00,7,7,6,"(none) fresh start foods richmond bc, fresh start foods, gfs, none (fresh start foods richmond bc), ready-set-serve by markon, rudy",microbiological (pathogenic) salmonella,Class II,0
15811,2023-11-24 16:31:00,2023-11-24 16:31:00,1,1,1,rudy,microbiological (pathogenic) salmonella,Class II,0
15806,2023-11-23 10:41:00,2023-11-23 10:41:00,1,1,1,malichita,microbiological (pathogenic) salmonella,Class II,0
15790,2023-11-23 10:41:00,2023-11-23 10:41:00,1,1,1,malichita,microbiological (pathogenic) salmonella,Class II,0
15805,2023-11-23 10:41:00,2023-11-23 10:41:00,1,1,1,malichita,microbiological (pathogenic) salmonella,Class II,0
15800,2023-11-22 10:17:00,2023-11-22 10:17:00,2,1,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
15763,2023-11-22 09:40:00,2023-11-22 09:40:00,1,1,1,fresh start foods,microbiological (pathogenic) salmonella,Class II,0
15799,2023-11-21 18:27:00,2023-11-21 18:27:00,2,1,1,o'ya hoho,microbiological (pathogenic) listeria,Class II,0
15779,2023-11-17 21:17:00,2023-11-17 21:17:00,1,1,1,south island,microbiological (pathogenic) clostridium botulinum,Class I,0
15797,2023-11-17 12:25:00,2023-11-17 12:25:00,69,69,8,"central foods co., fresh start foods, fresh start foods richmond bc, gfs, kitchen essentials / « essentials de la cuisine », none, none (fresh start foods richmond bc), ready-set-serve by markon",microbiological (pathogenic) salmonella,Class II,0
15777,2023-11-16 10:48:00,2023-11-16 10:48:00,1,1,1,malichita,microbiological (pathogenic) salmonella,Class II,0
15791,2023-11-15 13:55:00,2023-11-15 13:55:00,1,1,1,malichita,microbiological (pathogenic) salmonella,Class II,0
15776,2023-11-14 17:01:00,2023-11-14 17:01:00,14,12,2,"save on foods, urban fare",microbiological (pathogenic) salmonella,Class II,0
15816,2023-11-13 16:44:00,2023-11-13 16:44:00,1,1,1,malichita,microbiological (pathogenic) salmonella,Class II,0
15798,2023-11-13 16:44:00,2023-11-13 16:44:00,1,1,1,malichita,microbiological (pathogenic) salmonella,Class II,0
15819,2023-11-13 16:44:00,2023-11-13 16:44:00,1,1,1,malichita,microbiological (pathogenic) salmonella,Class II,0
15775,2023-11-13 16:44:00,2023-11-13 16:44:00,1,1,1,malichita,microbiological (pathogenic) salmonella,Class II,0
15786,2023-11-10 12:03:00,2023-11-10 12:03:00,3,3,3,"fruit pure, groupe tomapure, none/aucun",microbiological (pathogenic) salmonella,Class II,0
15771,2023-11-09 11:25:00,2023-11-09 11:25:00,1,1,1,h0-ya,microbiological (quality) yeasts,Class III,0
15778,2023-11-07 18:58:00,2023-11-07 18:58:00,1,1,1,lian teng,microbiological (pathogenic) listeria,Class I,0
15761,2023-11-01 17:22:00,2023-11-01 17:22:00,1,1,1,malichita,microbiological (pathogenic) salmonella,Class II,0
15760,2023-10-31 21:19:00,2023-10-31 21:19:00,1,1,1,president's choice / le choix du président,microbiological (pathogenic) listeria,Class I,0
15755,2023-10-28 10:37:00,2023-10-28 10:37:00,2,2,1,taylor shellfish canada ulc / fanny bay oysters,microbiological (pathogenic) vibrio parahaemolyticus,Class II,0
15751,2023-10-25 16:01:00,2023-10-25 16:01:00,1,1,1,lian teng,microbiological (pathogenic) listeria,Class II,0
15728,2023-10-16 14:39:00,2023-10-16 14:39:00,1,1,1,genuine health,microbiological (quality) molds,Class III,0
15717,2023-10-03 15:38:00,2023-10-03 15:38:00,1,1,1,fresh start foods,microbiological (pathogenic) salmonella,Class II,0
15715,2023-09-29 18:41:00,2023-09-29 18:41:00,1,1,1,kandy,microbiological (pathogenic) salmonella,Class II,0
15716,2023-09-29 15:41:00,2023-09-29 15:41:00,1,1,1,kandy,microbiological (pathogenic) salmonella,Class II,0
15689,2023-09-29 11:14:00,2023-09-29 11:14:00,5,2,2,"dairyland, neilson trutaste",microbiological (quality) acc,Class III,0
15707,2023-09-24 12:26:00,2023-09-24 12:26:00,1,1,1,ararat,microbiological (pathogenic) salmonella,Class II,0
15702,2023-09-19 18:50:00,2023-09-19 18:50:00,1,1,1,super,microbiological (pathogenic) listeria,Class II,0
15701,2023-09-16 16:28:00,2023-09-16 16:28:00,1,1,1,golden mushroom,microbiological (pathogenic) listeria,Class I,0
15698,2023-09-14 21:09:00,2023-09-14 21:09:00,1,1,1,springwater packers,microbiological (pathogenic) listeria,Class I,0
15686,2023-09-08 13:02:00,2023-09-08 13:02:00,1,1,1,sandhill,microbiological (quality) yeasts,Class III,0
15657,2023-08-10 19:59:00,2023-08-10 19:59:00,6,6,1,soft serve on the go,microbiological (pathogenic) listeria,Class I,0
15622,2023-07-28 15:19:00,2023-07-28 15:19:00,1,1,1,sss,microbiological (pathogenic) listeria,Class I,0
15599,2023-07-18 17:45:00,2023-07-18 17:45:00,2,2,1,delusional sauce co.,microbiological (pathogenic) clostridium botulinum,Class I,0
15601,2023-07-18 13:53:00,2023-07-18 13:53:00,1,1,1,dan-d pak,microbiological (pathogenic) salmonella,Class II,0
15586,2023-07-07 15:48:00,2023-07-07 15:48:00,1,1,1,green garden,microbiological (quality) generic e.coli,Class II,0
15585,2023-07-05 11:00:00,2023-07-05 11:00:00,2,1,1,kootenay meadows,microbiological (quality) generic e.coli,Class II,0
15563,2023-07-04 14:55:00,2023-07-04 14:55:00,2,2,2,"sélection du pâtissier, wow! factor desserts",microbiological (virus) norovirus,Class I,0
15525,2023-06-26 10:21:00,2023-06-26 10:21:00,1,1,1,haskalife,microbiological (quality) molds,Class III,0
15571,2023-06-16 20:09:00,2023-06-16 20:09:00,2,1,1,alasko,microbiological (virus) norovirus,Class III,0
15568,2023-06-16 18:51:00,2023-06-16 18:51:00,1,1,1,saladitos,microbiological (pathogenic) clostridium botulinum,Class I,0
15560,2023-06-13 17:38:00,2023-06-13 17:38:00,1,1,1,battaglia's lorne park marketplace,microbiological (virus) norovirus,Class I,0
15556,2023-06-13 12:17:00,2023-06-13 12:17:00,1,1,1,al kanater,microbiological (pathogenic) salmonella,Class II,0
15552,2023-06-09 17:18:00,2023-06-09 17:18:00,1,1,1,saladitos,microbiological (pathogenic) clostridium botulinum,Class I,0
15526,2023-06-09 10:00:00,2023-06-09 10:00:00,4,2,1,alasko,microbiological (virus) norovirus,Class I,0
15534,2023-06-08 11:41:00,2023-06-08 11:41:00,1,1,1,earth's own,microbiological (other),Class III,0
