Year,Season,TotalRecalls,UniqueBrands,DominantPathogen,DominantClass,UniqueIncidents,ClassI,ClassII,ClassIII,UnknownClass,ClassI_Pct,ClassII_Pct,ClassIII_Pct,UnknownClass_Pct
2011,Fall,234,81,microbiological (pathogenic) listeria,Class I,70,206,13,15,0,88.03,5.56,6.41,0.0
2011,Spring,61,27,microbiological (pathogenic) salmonella,Class I,27,31,29,1,0,50.82,47.54,1.64,0.0
2011,Summer,133,29,microbiological (pathogenic) listeria,Class I,32,115,9,9,0,86.47,6.77,6.77,0.0
2011,Winter,72,15,microbiological (pathogenic) listeria,Class I,13,67,3,2,0,93.06,4.17,2.78,0.0
2012,Fall,1334,176,microbiological (pathogenic) e.coli o157:h7,Class I,189,1295,11,28,0,97.08,0.82,2.1,0.0
2012,Spring,257,55,microbiological (pathogenic) e.coli o157:h7,Class I,40,243,11,3,0,94.55,4.28,1.17,0.0
2012,Summer,130,50,microbiological (pathogenic) salmonella,Class I,65,66,59,5,0,50.77,45.38,3.85,0.0
2012,Winter,49,28,microbiological (pathogenic) e.coli o157:h7,Class II,29,18,19,12,0,36.73,38.78,24.49,0.0
2013,Fall,260,47,microbiological (pathogenic) listeria,Class I,47,209,29,22,0,80.38,11.15,8.46,0.0
2013,Spring,99,35,microbiological (pathogenic) salmonella,Class II,35,27,65,7,0,27.27,65.66,7.07,0.0
2013,Summer,104,42,microbiological (pathogenic) listeria,Class I,41,64,34,6,0,61.54,32.69,5.77,0.0
2013,Winter,57,22,microbiological (pathogenic) e.coli o157:h7,Class I,16,45,5,7,0,78.95,8.77,12.28,0.0
2014,Fall,126,33,microbiological (pathogenic) salmonella,Class III,36,35,39,52,0,27.78,30.95,41.27,0.0
2014,Spring,293,65,microbiological (pathogenic) listeria,Class I,47,227,45,21,0,77.47,15.36,7.17,0.0
2014,Summer,236,59,microbiological (pathogenic) listeria,Class I,68,152,67,17,0,64.41,28.39,7.2,0.0
2014,Winter,103,35,microbiological (pathogenic) listeria,Class I,27,78,14,11,0,75.73,13.59,10.68,0.0
2015,Fall,122,38,microbiological (pathogenic) listeria,Class III,40,41,33,48,0,33.61,27.05,39.34,0.0
2015,Spring,214,40,microbiological (pathogenic) salmonella,Class II,53,61,142,11,0,28.5,66.36,5.14,0.0
2015,Summer,219,59,microbiological (pathogenic) vibrio parahaemolyticus,Class III,42,51,22,146,0,23.29,10.05,66.67,0.0
2015,Winter,92,25,microbiological (pathogenic) salmonella,Class I,31,64,8,20,0,69.57,8.7,21.74,0.0
2016,Fall,154,28,microbiological (pathogenic) e.coli o157:h7,Class I,34,119,27,8,0,77.27,17.53,5.19,0.0
2016,Spring,81,36,microbiological (pathogenic) listeria,Class I,45,73,5,3,0,90.12,6.17,3.7,0.0
